"ID_VOTACAO";"DATA";"HORA";"ORIENTACAO_GOVERNO";"TIPO";"NUMERO";"ANO";"EMENTA";"O_QUE_FOI_VOTADO";"LINGUAGEM_COMUM";;;;;;;;;;
"S11001";110208;"01:00:00";"Sim";"PLV";15;2010;"Dispõe sobre a prestação de auxílio financeiro pela União aos Estados, ao Distrito Federal e aos Municípios, no exercício de 2010, com o objetivo de fomentar as exportações do País; altera as Leis nºs 12.087, de 11 de novembro de 2009, 10.260, de 12 de julho de 2001, 10.406, de 10 de janeiro de 2002 - Código Civil Brasileiro, 8.685, de 20 de julho de 1993, 11.941, de 27 de maio de 2009...";"Votação do art. 10 do PLV nº 15";" de 2010(MP 501/2010).";"Auxílio a Estados e municípios para fomentar exportações";;;;;;;;;
"S11002";110223;"02:00:00";"Não";"PLC";1;2011;"Dispõe sobre o valor do salário mínimo em 2011 e a sua política de valorização de longo prazo; disciplina a representação fiscal para fins penais nos casos em que houve parcelamento do crédito tributário; altera a Lei nº 9.430, de 27 de dezembro de 1996; e revoga a Lei nº 12.255, de 15 de junho de 2010.";"Votação da Emenda nº 1";" ao Projeto de Lei da Câmara nº 1";" de 2011.";"Valor do salário mínimo em 2011";;;;;;;;
"S11003";110223;"03:00:00";"Não";"PLC";1;2011;"Dispõe sobre o valor do salário mínimo em 2011 e a sua política de valorização de longo prazo; disciplina a representação fiscal para fins penais nos casos em que houve parcelamento do crédito tributário; altera a Lei nº 9.430, de 27 de dezembro de 1996; e revoga a Lei nº 12.255, de 15 de junho de 2010.";"Votação da Emenda nº 3";" ao Projeto de Lei da Câmara nº 1";" de 2011.";"Valor do salário mínimo em 2011";;;;;;;;
"S11004";110223;"04:00:00";"Não";"PLC";1;2011;"Dispõe sobre o valor do salário mínimo em 2011 e a sua política de valorização de longo prazo; disciplina a representação fiscal para fins penais nos casos em que houve parcelamento do crédito tributário; altera a Lei nº 9.430, de 27 de dezembro de 1996; e revoga a Lei nº 12.255, de 15 de junho de 2010.";"Votação da Emenda nº 5";" ao Projeto de Lei da Câmara nº 1";" de 2011.";"Valor do salário mínimo em 2011";;;;;;;;
"S11005";110301;"05:00:00";"Sim";"PLV";2;2011;"Ratifica o Protocolo de Intenções firmado entre a União";" o Estado do Rio de Janeiro e o Município do Rio de Janeiro";" com a finalidade de constituir consórcio público";" denominado Autoridade Pública Olímpica - APO.";"Votação dos pressupostos constitucionais de relevância";" urgência e adequação financeira e orçamentária da Medida Provisória nº 503";" de 2010 (verificação).";"Autoridade Pública Olímpica";;;;;
"S11006";110301;"06:00:00";"Sim";"PLV";2;2011;"Ratifica o Protocolo de Intenções firmado entre a União";" o Estado do Rio de Janeiro e o Município do Rio de Janeiro";" com a finalidade de constituir consórcio público";" denominado Autoridade Pública Olímpica - APO.";"Votação do Projeto de Lei de Conversão nº 2";" de 2011 -MP 503/2010- ( Verificação)";"Autoridade Pública Olímpica";;;;;;
"S11007";110301;"07:00:00";"Sim";"PLV";3;2011;"Constitui fonte de recursos adicional ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES; e altera a Relação Descritiva constante do Anexo da Lei nº 5.917, de 10 de setembro de 1973.";"Votação do Projeto de Lei de Conversão nº 3";" de 2011 -MP 505/2010- ( Verificação)";"Recursos para o BNDES";;;;;;;;;
"S11008";110405;"08:00:00";"Sim";"PLV";6;2011;"Regula o cumprimento de obrigações tributárias por consórcios que realizarem contratações de pessoas jurídicas e físicas ; acresce dispositivos à Lei nº 10.168, de 29 de dezembro de 2000, que institui contribuição de intervenção...";"Votação dos pressupostos de relevância e urgência e adequação financeira e orçamentária da MP nº 510";" de 2010 (verificação)";"Obrigações tributárias de consórcios";;;;;;;;;
"S11009";110413;"09:00:00";"Sim";"PLV";7;2011;"Autoriza a criação da Empresa de Transporte Ferroviário de Alta Velocidade S.A. - ETAV; estabelece medidas voltadas a assegurar a sustentabilidade econômico-financeira do Banco Nacional de Desenvolvimento Econômico e Social – BNDES...";"Votação quanto aos pressupostos constitucionais de relevância";" urgência e adequação financeira e orçamentária da Medida Provisória nº 511";" de 2010.";"Trem de Alta Velocidade (TAV) entre Rio de Janeiro e Campinas";;;;;;;;
"S11010";110413;"10:00:00";"Sim";"PLV";7;2011;"Autoriza a criação da Empresa de Transporte Ferroviário de Alta Velocidade S.A. - ETAV; estabelece medidas voltadas a assegurar a sustentabilidade econômico-financeira do Banco Nacional de Desenvolvimento Econômico e Social – BNDES...";"Votação do PLV 7";" de 2011";"Trem de Alta Velocidade (TAV) entre Rio de Janeiro e Campinas";;;;;;;;;
"S11011";110524;"11:00:00";"Sim";"MPV";515;2010;"Abre crédito extraordinário em favor da Justiça do Trabalho e de diversos órgãos do Poder Executivo";" no valor global de R$ 26.673.264.196";0;" para os fins que especifica.";"Votação da Medida Provisória nº 515";" de 2010";"Crédito de R$26 milhões para Justiça do Trabalho e outros";;;;;;
"S11012";110601;"12:00:00";"Sim";"PLV";13;2011;"Dispõe sobre a incidência do imposto sobre a renda nas operações que especifica; altera as Leis nºs 11.478, de 29 de maio de 2007, 6.404, de 15 de dezembro de 1976, 9.430, de 27 de dezembro de 1996, 12.350, de 20 de dezembro de 2010, 11.196, de 21 de novembro de 2005, 8.248, de 23 de outubro de 1991, 9.648, de 27 de maio de 1998...";"Votação quanto aos pressupostos constitucionais de relevância";" urgência e adequação financeira e orçamentária da MPV nº 517";" de 2010 (Verificação).";"Imposto de renda";;;;;;;;
"S11013";110601;"13:00:00";"Não";"PLV";13;2011;"Dispõe sobre a incidência do imposto sobre a renda nas operações que especifica; altera as Leis nºs 11.478, de 29 de maio de 2007, 6.404, de 15 de dezembro de 1976, 9.430, de 27 de dezembro de 1996, 12.350, de 20 de dezembro de 2010, 11.196, de 21 de novembro de 2005, 8.248, de 23 de outubro de 1991, 9.648, de 27 de maio de 1998...";"Votação do Requerimento nº 638";" de 2011";" de autoria do Senador Alvaro Dias";" solicitando destaque para votação em separado da Emenda nº 49.";"Imposto de renda";;;;;;;
"S11014";110601;"14:00:00";"Sim";"PLV";13;2011;"Dispõe sobre a incidência do imposto sobre a renda nas operações que especifica; altera as Leis nºs 11.478, de 29 de maio de 2007, 6.404, de 15 de dezembro de 1976, 9.430, de 27 de dezembro de 1996, 12.350, de 20 de dezembro de 2010, 11.196, de 21 de novembro de 2005, 8.248, de 23 de outubro de 1991, 9.648, de 27 de maio de 1998...";"Votação do Projeto de Lei nº 13";" de 2011 - MP 517/2010 (Verificação).";"Imposto de renda";;;;;;;;;
"S11015";110601;"15:00:00";"Sim";"PLV";14;2011;"Autoriza o Poder Executivo a criar a empresa pública denominada Empresa Brasileira de Serviços Hospitalares - EBSERH; altera a Lei nº 12.101, de 27 de novembro de 2009; e dá outras providências.";"Votação quanto aos pressupostos constitucionais de relevância";" urgência e adequação financeira e orçamentária da MPV nº 520";" de 2010 (Verificação).";"Criação da Empresa Brasileira de Serviços Hospitalares – EBSERH";;;;;;;;
"S11016";110614;"16:00:00";"Sim";"MPV";525;2011;"Altera a Lei no 8.745";" de 9 de dezembro de 1993";" no tocante à contratação de professores.";"Votação quanto aos pressupostos constitucionais de relevância";" urgência e adequação financeira e orçamentária da Medida Provisória nº 525";" de 2011.";"Contratação de professores";;;;;;
"S11017";110614;"17:00:00";"Sim";"MPV";525;2011;"Altera a Lei no 8.745";" de 9 de dezembro de 1993";" no tocante à contratação de professores.";"Votação da Medida Provisória nº 525";" de 2011";"Contratação de professores";;;;;;;
"S11018";110629;"18:00:00";"Sim";"PLV";16;2011;"Constitui fonte de recursos adicional ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES; altera as Leis nºs 12.096, de 24 de novembro de 2009; 12.409, de 25 de maio de 2011, 10.841, de 18 de fevereiro de 2004, e 12.101, de 27 de novembro de 2009...";"Votação dos Pressupostos Constitucionais de Relevância";" Urgência e Adequação Financeira e Orçamentária da Medida Provisória nº 526";" de 2011.";"Recursos para o BNDES";;;;;;;;
"S11019";110629;"19:00:00";"Sim";"PLV";16;2011;"Constitui fonte de recursos adicional ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES; altera as Leis nºs 12.096, de 24 de novembro de 2009; 12.409, de 25 de maio de 2011, 10.841, de 18 de fevereiro de 2004, e 12.101, de 27 de novembro de 2009; dispõe sobre medidas de suspensão temporária de exigências de regularidade fiscal...";"Votação do Projeto de Lei de Conversão nº 16";" de 2011";"Recursos para o BNDES";;;;;;;;;
"S11020";110706;"20:00:00";"Sim";"PLV";17;2011;"Institui o Regime Diferenciado de Contratações Públicas - RDC; altera a Lei no 10.683, de 28 de maio de 2003, que dispõe sobre a organização da Presidência da República e dos Ministérios, a legislação da Agência Nacional de Aviação Civil - ANAC e a legislação da Empresa Brasileira de Infraestrutura Aeroportuária - INFRAERO; cria a Secretaria de Aviação Civil...";"Votação dos Pressupostos de Relevância e Urgência da MP nº 527";" de 2011";"Aeroportos";;;;;;;;;
"S11021";110706;"21:00:00";"Sim";"PLV";17;2011;"Institui o Regime Diferenciado de Contratações Públicas - RDC; altera a Lei no 10.683, de 28 de maio de 2003, que dispõe sobre a organização da Presidência da República e dos Ministérios, a legislação da Agência Nacional de Aviação Civil - ANAC e a legislação da Empresa Brasileira de Infraestrutura Aeroportuária - INFRAERO; cria a Secretaria de Aviação Civil...";"Votação do Projeto de Lei de Conversão nº 17";" de 2011";"Aeroportos";;;;;;;;;
"S11022";110803;"22:00:00";"Não";"PLV";18;2011;"Altera os valores constantes da tabela do Imposto sobre a Renda da Pessoa Física e altera as Leis nºs 11.482";" de 31 de maio de 2007";7713;" de 22 de dezembro de 1988";"9,25";" de 26 de dezembro de 1995";9656;" de 3 de junho de 1998";" e 10.480";" de 2 de julho de 2002.";"Votação da Emenda nº 51";" a Medida Provisória 528 (verificação) - PLV 18/2011";"Altera tabela do Imposto sobre a Renda da Pessoa Física"
"S11023";110816;"23:00:00";"Sim";"PEC";11;2011;"Altera o procedimento de apreciação das medidas provisórias pelo Congresso Nacional.";"Votação da Subemenda nº 1-CCJ às Emendas 2";" 3 e 5-PLEN à PEC nº 11/2011 (1º Turno).";"Altera apreciação de medidas provisórias pelo Congresso Nacional";;;;;;;;;
"S11024";110816;"00:00:00";"Não";"PLC";116;2010;"Dispõe sobre a comunicação audiovisual de acesso condicionado; altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, e as Leis nºs 11.437, de 28 de dezembro de 2006, 5.070, de 7 de julho de 1966, 8.977, de 6 de janeiro de 1995, e 9.472, de 16 de julho de 1997; e dá outras providências.";"Votação da Emenda 16/PLEN ao PLC 116/2010.";"Comunicação audiovisual de acesso condicionado";;;;;;;;;;
"S11025";110817;"01:00:00";"Sim";"PEC";11;2011;"Altera o procedimento de apreciação das medidas provisórias pelo Congresso Nacional.";"Votação da subemenda nº 1-CCJ à PEC nº 11";" de 2011 (2º turno).";"Altera apreciação de medidas provisórias pelo Congresso Nacional";;;;;;;;;
"S11026";110831;"02:00:00";"Sim";"PLV";21;2011;"Altera as Leis nºs 9.478, de 6 de agosto de 1997, e 9.847, de 26 de outubro de de 1999, que dispõem sobre a política e a fiscalização das atividades relativas ao abastecimento nacional de combustíveis; altera o § 1º do art. 9o da Lei nº 8.723, de 28 de outubro de 1993, que dispõe sobre a redução de emissão de poluentes por veículos automotores...";"Votação dos Pressupostos de Relevância e Urgência e Adequação Financeira e Orçamentária da Medida Provisória nº 532";" de 2011.";"Fiscalização do abastecimento de combustíveis";;;;;;;;;
"S11027";111005;"03:00:00";"Não";"MPV";538;2011;"Autoriza a prorrogação de contratos por tempo determinado firmados com fundamento na alínea ""g"" do inciso VI do art. 2º da Lei nº 8.745, de 9 de dezembro de 1993, e dá outras providências.";"Votação de emendas de parecer contrário à Medida Provisória";"Prorrogação de contratos";;;;;;;;;;
"S11028";111005;"04:00:00";"Sim";"PLC";77;2011;"Altera dispositivos da Lei Complementar nº 123";" de 14 de dezembro de 2006";" e dá outras providências.";"Votação do Projeto de Lei da Câmara nº 77";" de 2011";"SuperSimples";;;;;;;
"S11029";111005;"05:00:00";"Sim";"PLC";77;2011;"Altera dispositivos da Lei Complementar nº 123";" de 14 de dezembro de 2006";" e dá outras providências.";"Votação das Emendas 1 a 3-CAE";" de parecer favorável ao PLC 77";" de 2011.";"SuperSimples";;;;;;
"S11030";111005;"06:00:00";"Não";"PLC";77;2011;"Altera dispositivos da Lei Complementar nº 123";" de 14 de dezembro de 2006";" e dá outras providências.";"Votação da Emenda 4-CAE";" ao PLC 77";" de 2011.";"SuperSimples";;;;;;
"S11031";111005;"07:00:00";"Não";"PLC";77;2011;"Altera dispositivos da Lei Complementar nº 123";" de 14 de dezembro de 2006";" e dá outras providências.";"Votação das Emendas 5 a 10 do Parecer contrário ao PLC 77";" de 2011.";"SuperSimples";;;;;;;
"S11032";111005;"08:00:00";"Sim";"PLV";25;2011;"Dá nova redação ao art. 4º da Lei nº 6.932, de 7 de julho de 1981, que dispõe sobre as atividades do médico-residente; e trata dascontribuições devidas aos conselhos profissionais em geral. ";"Votação dos pressupostos constitucionais de relevância e urgência e adequação financeira e orçamentária da Medida Provisória 536";" de 2011.";"Atividades do médico-residente";;;;;;;;;
"S11033";111019;"09:00:00";"Não";"PLS";448;2011;"Dispõe sobre royalties e participação especial devidos em função da produção de petróleo";" gás natural e outros hidrocarbonetos fluidos sob o regime de concessão no mar territorial";" na zona econômica exclusiva e na plataforma continental";" e sobre royalties devidos sob o regime de partilha de produção";" instituído pela Lei nº 12.351";" de 22 de dezembro de 2010.";"Votação do Requerimento nº 1267";" de 2011";" do Senador Francisco Dornelles.";"Royalties de petróleo";;;
"S11034";111019;"10:00:00";"Não";"PLS";448;2011;"Dispõe sobre royalties e participação especial devidos em função da produção de petróleo";" gás natural e outros hidrocarbonetos fluidos sob o regime de concessão no mar territorial";" na zona econômica exclusiva e na plataforma continental";" e sobre royalties devidos sob o regime de partilha de produção";" instituído pela Lei nº 12.351";" de 22 de dezembro de 2010.";"Votação da Emenda nº 13 ao PLS nº 448";" de 2011.";"Royalties de petróleo";;;;
"S11035";111019;"11:00:00";"Não";"PLS";448;2011;"Dispõe sobre royalties e participação especial devidos em função da produção de petróleo";" gás natural e outros hidrocarbonetos fluidos sob o regime de concessão no mar territorial";" na zona econômica exclusiva e na plataforma continental";" e sobre royalties devidos sob o regime de partilha de produção";" instituído pela Lei nº 12.351";" de 22 de dezembro de 2010.";"Votação da Emenda nº 25 ao PLS nº 448";" de 2011.";"Royalties de petróleo";;;;
"S11036";111019;"12:00:00";"Não";"PLS";448;2011;"Dispõe sobre royalties e participação especial devidos em função da produção de petróleo";" gás natural e outros hidrocarbonetos fluidos sob o regime de concessão no mar territorial";" na zona econômica exclusiva e na plataforma continental";" e sobre royalties devidos sob o regime de partilha de produção";" instituído pela Lei nº 12.351";" de 22 de dezembro de 2010.";"Votação da Emenda nº 19 Substitutivo ao PLS nº 448";" de 2011.";"Royalties de petróleo";;;;
"S11037";111025;"13:00:00";"Não";"PLC";41;2010;"Regula o acesso a informações previsto no inciso XXXIII do art. 5º, no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição Federal; altera a Lei nº 8.112, de 11 de dezembro de 1990; revoga a Lei nº 11.111, de 5 de maio de 2005, e dispositivos da Lei nº 8.159, de 8 de janeiro de 1991; e dá outras providências. ";"Votação da Emenda nº 5 - PLEN (substitutivo) ao PLC nº 41/2010.";"Acesso à informação";;;;;;;;;;
"S11038";111026;"14:00:00";"Sim";"PLC";1;2010;"Fixa normas";" nos termos dos incisos III";" VI e VII do caput e do parágrafo único do art. 23 da Constituição Federal";" para a cooperação entre a União";" os Estados";" o Distrito Federal e os Municípios";" nas ações administrativas decorrentes do exercício da competência comum relativas à proteção das paisagens naturais notáveis";" à proteção do meio ambiente...";"Votação do Projeto de Lei da Câmara nº 1 de 2010 - Complementar";"Cooperação entre União";" Estados e Municípios na preservação ambiental";;
"S11039";111026;"15:00:00";"Sim";"PLC";1;2010;"Fixa normas";" nos termos dos incisos III";" VI e VII do caput e do parágrafo único do art. 23 da Constituição Federal";" para a cooperação entre a União";" os Estados";" o Distrito Federal e os Municípios";" nas ações administrativas decorrentes do exercício da competência comum relativas à proteção das paisagens naturais notáveis";" à proteção do meio ambiente...";"Votação das Emendas 1 e 2 ao PLC 1/2010.";"Cooperação entre União";" Estados e Municípios na preservação ambiental";;
"S11041";111122;"16:00:00";"Não";"PLV";29;2011;"Institui o Regime Especial de Reintegração de Valores Tributários para as Empresas Exportadoras - REINTEGRA; dispõe sobre a redução do Imposto sobre Produtos Industrializados - IPI à indústria automotiva; altera a incidência das contribuições previdenciárias devidas pelas empresas que menciona; altera as Leis nºs 11.774, de 17 de setembro de 2008, 11.033, de 21 de dezembro de 2004, 11.196, de 21 de novembro de 2005, 10.865...";"Votação do Requerimento nº 1392/2011 de destaque do Parágrafo 6º do art. 49 do PLV 29/2011.";"Regime Especial de Reintegração de Valores Tributários para as Emp. Exportadoras – Reintegra";;;;;;;;;;
"S11042";111123;"17:00:00";"Sim";"PLC";79;2011;"Autoriza o Poder Executivo a criar a empresa pública denominada Empresa Brasileira de Serviços Hospitalares - EBSERH; acrescenta dispositivos ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal; e dá outras providências. ";"Votação do Projeto de Lei da Câmara nº 79";" de 2011.";" Empresa Brasileira de Serviços Hospitalares - EBSERH";;;;;;;;;
"S11044";111129;"19:00:00";"Sim";"PLS";225;2011;"Altera dispositivos da Lei Complementar nº 101";" de 04 de maio de 2000";" que estabelece normas de finanças públicas voltadas para a responsabilidade na gestão Fiscal";" - Lei de Responsabilidade Fiscal";" e dá outras providências.";"Votação do PLS 225/2011-Complementar.";"Altera a Lei de Responsabilidade Fiscal";;;;;;
